Age,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,,,
20,138.225,134.119,128.438,138.586,135.924,139.241,135.495,135.495,135.829,134.181,134.180,133.894,144.394,146.868,150.407,155.231,156.402,160.649,172.387,193.593,192.116,192.179,188.746,203.880,,,
21,134.949,130.931,125.467,135.248,132.708,135.931,132.291,132.291,132.601,131.040,131.021,130.726,140.890,143.282,146.691,151.373,152.581,156.813,168.135,188.416,186.984,187.056,183.784,198.328,,,
22,131.714,127.782,122.533,131.954,129.532,132.662,129.126,129.126,129.414,127.938,127.902,127.598,137.432,139.744,143.023,147.567,148.811,153.026,163.938,183.313,181.926,182.006,178.892,192.857,,,
23,128.520,124.674,119.634,128.702,126.396,129.435,126.002,126.002,126.268,124.874,124.822,124.510,134.020,136.253,139.406,143.812,145.090,149.287,159.797,178.285,176.942,177.030,174.069,187.468,,,
24,125.366,121.606,116.771,125.492,123.301,126.250,122.918,122.918,123.162,121.850,121.781,121.461,130.652,132.808,135.837,140.108,141.420,145.596,155.712,173.332,172.031,172.127,169.317,182.160,,,
25,122.254,118.578,113.945,122.326,120.246,123.105,119.873,119.873,120.097,118.864,118.780,118.453,127.330,129.411,132.318,136.457,137.799,141.954,151.682,168.452,167.194,167.297,164.635,176.933,,,
26,119.182,115.591,111.154,119.202,117.230,120.003,116.869,116.869,117.073,115.917,115.817,115.485,124.054,126.060,128.848,132.857,134.228,138.360,147.707,163.648,162.430,162.541,160.023,171.787,,,
27,116.151,112.643,108.399,116.121,114.256,116.942,113.905,113.905,114.089,113.009,112.894,112.556,120.822,122.756,125.427,129.308,130.707,134.815,143.788,158.917,157.741,157.858,155.480,166.723,,,
28,113.161,109.736,105.681,113.082,111.321,113.922,110.980,110.980,111.146,110.139,110.010,109.667,117.636,119.499,122.056,125.811,127.235,131.319,139.925,154.262,153.125,153.249,151.008,161.740,,,
29,110.212,106.869,102.998,110.087,108.426,110.944,108.096,108.096,108.244,107.309,107.166,106.818,114.496,116.289,118.734,122.366,123.814,127.870,136.117,149.680,148.582,148.713,146.605,156.839,,,
